apn,address,city,state,zip,owner,phone,email,value,type,dnc,status,mail_addr,mail_zip,beds,baths,sqft,lot_sqft,year_built,years_owned,property_type,lat,lon
7978-020-097,3370 Vista Del Mar,Torrance,CA,90503,D. Stubbs,,,1809000,Owner,,new,3370 Vista Del Mar,90503,5,5,4690,11800,2006,24,Single Family,33.817904,-118.326786
7861-029-069,5694 Vista Del Mar,Rancho Palos Verdes,CA,90275,M. Fixture,,,2122000,Owner,,new,5694 Vista Del Mar,90275,3,3,2160,10000,1994,14,Single Family,33.744541,-118.373137
7941-011-096,4008 Camino Real,Manhattan Beach,CA,90266,E. Dummett,,,3510000,Owner,,new,4008 Camino Real,90266,4,3,2420,5000,1981,36,Single Family,33.893374,-118.401465
7358-038-055,1268 Prospect Ave,Palos Verdes Estates,CA,90274,E. Sampleton,,,2860000,Owner,,new,1268 Prospect Ave,90274,4,3,2590,12200,1979,6,Single Family,33.791066,-118.409369
7180-027-093,2246 Silver Spur Rd,Rancho Palos Verdes,CA,90275,C. Mockton,,,1618000,Owner,,new,2246 Silver Spur Rd,90275,4,4,2320,4500,1954,15,Single Family,33.749179,-118.373769
7247-037-064,3824 Anza Ave,Manhattan Beach,CA,90266,A. Dummett,,,2765000,Owner,,new,3824 Anza Ave,90266,2,1,1560,5500,2005,18,Single Family,33.884932,-118.415606
7902-036-007,3496 Silver Spur Rd,Manhattan Beach,CA,90266,E. Example,,,3720000,Owner,,new,3496 Silver Spur Rd,90266,4,3,2800,8400,1954,27,Single Family,33.888925,-118.414995
7584-010-042,3045 Vista Del Mar,Palos Verdes Estates,CA,90274,G. Sampleton,,,3813000,Owner,,new,3045 Vista Del Mar,90274,5,4,4110,22300,1980,11,Single Family,33.762053,-118.378759
7172-028-094,5842 Prospect Ave,Redondo Beach,CA,90277,M. Dummett,,,1960000,Owner,,new,5842 Prospect Ave,90277,4,4,2970,6400,1961,36,Single Family,33.834929,-118.388757
7596-003-013,4304 Crenshaw Blvd,Rancho Palos Verdes,CA,90275,J. Mockton,,,2694000,Absentee,,new,3356 Wilshire Blvd,91403,5,4,3330,11900,1966,38,Single Family,33.750586,-118.394587
7916-015-064,208 Vista Del Mar,Rancho Palos Verdes,CA,90275,F. Fixture,,,2587000,Owner,,new,208 Vista Del Mar,90275,5,4,4380,14000,1995,15,Single Family,33.734991,-118.373725
7805-028-002,4764 Anza Ave,Rancho Palos Verdes,CA,90275,F. Stubbs,,,3053000,Owner,,new,4764 Anza Ave,90275,5,5,4210,8200,1998,35,Single Family,33.743706,-118.375364
7149-012-094,5389 Vista Del Mar,Rancho Palos Verdes,CA,90275,J. Sample,,,2675000,Owner,,new,5389 Vista Del Mar,90275,5,4,3640,15300,1996,3,Single Family,33.739621,-118.378032
7525-028-047,2230 Granvia Altamira,Torrance,CA,90503,F. Testerman,,,953000,Owner,,new,2230 Granvia Altamira,90503,3,3,1850,7100,1972,7,Single Family,33.827655,-118.348491
7347-006-090,5150 Aviation Blvd,Manhattan Beach,CA,90266,L. Placeholder,,,3804000,Absentee,,new,1078 Main St,89109,4,4,3140,16100,2016,14,Condo,33.866858,-118.420586
7330-021-014,5879 Via Campesina,Torrance,CA,90503,J. Testerman,,,1784000,Owner,,new,5879 Via Campesina,90503,5,4,3360,11000,1949,33,Condo,33.845819,-118.331615
7974-001-012,146 Calle Mayor,Manhattan Beach,CA,90266,L. Mockton,,,4375000,Owner,,new,146 Calle Mayor,90266,5,4,4580,21500,1973,22,Condo,33.872215,-118.394405
7786-025-080,6734 Deep Valley Dr,Palos Verdes Estates,CA,90274,D. Stubbs,,,2688000,Absentee,,new,4874 Ventura Blvd,91403,5,4,3200,17200,1966,7,Single Family,33.795446,-118.403028
7234-034-082,5977 Vista Del Mar,Redondo Beach,CA,90277,E. Example,,,2160000,Owner,,new,5977 Vista Del Mar,90277,5,4,3660,18000,1953,27,Single Family,33.860453,-118.388361
7284-025-062,3831 Highland Ave,Torrance,CA,90503,J. Mockton,,,650000,Owner,,new,3831 Highland Ave,90503,2,1,1370,7200,1957,28,Single Family,33.835391,-118.33586
7643-017-049,3707 Aviation Blvd,Redondo Beach,CA,90277,C. Demoworth,,,1998000,Owner,,new,3707 Aviation Blvd,90277,5,5,3250,7300,1958,37,Single Family,33.859908,-118.378119
7118-017-027,1973 Palos Verdes Dr,Torrance,CA,90503,E. Stubbs,,,1703000,Owner,,new,1973 Palos Verdes Dr,90503,5,5,3490,5700,1955,17,Single Family,33.832886,-118.324664
7103-025-070,488 Camino Real,Rancho Palos Verdes,CA,90275,E. Fixture,,,2581000,Absentee,,new,1545 Ventura Blvd,91403,5,5,4520,15600,1979,25,Single Family,33.753338,-118.402666
7566-015-011,5900 Via Campesina,Redondo Beach,CA,90277,M. Placeholder,,,1538000,Owner,,new,5900 Via Campesina,90277,3,2,2160,8300,1989,22,Condo,33.837329,-118.392396
7675-039-024,4434 Anza Ave,Palos Verdes Estates,CA,90274,E. Stubbs,,,2567000,Owner,,new,4434 Anza Ave,90274,4,3,2700,12000,2006,34,Condo,33.793519,-118.3984
7717-021-075,6767 Prospect Ave,Rolling Hills Estates,CA,90274,B. Mockton,,,2319000,Absentee,,new,1707 Ventura Blvd,94105,4,3,3000,10800,1969,20,Single Family,33.79171,-118.363124
7766-021-006,2440 Hawthorne Blvd,Palos Verdes Estates,CA,90274,C. Testerman,,,2147000,Owner,,new,2440 Hawthorne Blvd,90274,4,3,2670,11200,1989,37,Single Family,33.79575,-118.394748
7371-008-034,3600 Prospect Ave,Manhattan Beach,CA,90266,K. Fixture,,,2915000,Owner,,new,3600 Prospect Ave,90266,4,4,2540,4200,1957,16,Single Family,33.869943,-118.419068
7430-018-072,2870 Highland Ave,Redondo Beach,CA,90277,H. Stubbs,,,2022000,Owner,,new,2870 Highland Ave,90277,4,3,3060,13800,1987,0,Single Family,33.866447,-118.394036
7775-037-051,5459 Granvia Altamira,Redondo Beach,CA,90277,A. Demoworth,,,2016000,Owner,,new,5459 Granvia Altamira,90277,4,3,3090,8900,2000,39,Single Family,33.838662,-118.398753
7183-005-067,3993 Anza Ave,Rancho Palos Verdes,CA,90275,G. Sampleton,,,2429000,Owner,,new,3993 Anza Ave,90275,4,4,2890,9100,1969,38,Single Family,33.751445,-118.400845
7326-030-091,4445 Anza Ave,Palos Verdes Estates,CA,90274,C. Placeholder,,,2790000,Owner,,new,4445 Anza Ave,90274,5,4,4490,20500,2003,39,Single Family,33.790826,-118.408092
7208-021-039,5804 Via Campesina,Manhattan Beach,CA,90266,L. Demoworth,,,1931000,Absentee,,new,2748 Main St,90210,2,1,1380,3700,1979,27,Single Family,33.898471,-118.424455
7114-031-016,2301 Via Campesina,Rancho Palos Verdes,CA,90275,B. Testerman,,,2301000,Owner,,new,2301 Via Campesina,90275,4,3,2870,14300,1960,2,Condo,33.733694,-118.396532
7359-039-058,1207 Hawthorne Blvd,Redondo Beach,CA,90277,C. Mockton,,,1709000,Owner,,new,1207 Hawthorne Blvd,90277,3,2,2200,8100,1963,33,Condo,33.838245,-118.388048
7215-023-013,2416 Palos Verdes Dr,Manhattan Beach,CA,90266,D. Example,,,4074000,Absentee,,new,4587 Main St,89109,5,4,3480,8600,1961,21,Single Family,33.890211,-118.396322
7131-007-054,6456 Prospect Ave,Redondo Beach,CA,90277,G. Dummett,,,1696000,Owner,,new,6456 Prospect Ave,90277,3,2,2110,11400,1998,37,Single Family,33.835845,-118.37468
7384-006-071,2600 Esplanade,Rancho Palos Verdes,CA,90275,E. Sample,,,2313000,Owner,,new,2600 Esplanade,90275,4,3,3020,12000,1985,6,Single Family,33.755314,-118.39966
7948-019-036,4081 Palos Verdes Dr,Rancho Palos Verdes,CA,90275,G. Testerman,,,1562000,Absentee,,new,4375 Main St,90210,3,2,2180,4800,2008,32,Condo,33.746441,-118.401278
7257-013-048,133 Crenshaw Blvd,Rancho Palos Verdes,CA,90275,H. Dummett,,,1338000,Owner,,new,133 Crenshaw Blvd,90275,3,3,1990,5900,1958,39,Single Family,33.743387,-118.403304
7578-029-019,1210 Calle Mayor,Rolling Hills Estates,CA,90274,M. Mockton,,,3258000,Owner,,new,1210 Calle Mayor,90274,5,5,4180,17400,1950,17,Single Family,33.796753,-118.361614
7325-002-061,3040 Anza Ave,Manhattan Beach,CA,90266,D. Placeholder,,,4082000,Owner,,new,3040 Anza Ave,90266,5,4,3820,17200,2004,11,Single Family,33.900744,-118.414807
7725-008-008,6392 Esplanade,Palos Verdes Estates,CA,90274,L. Stubbs,,,2130000,Absentee,,new,1760 Wilshire Blvd,91403,3,3,1680,6700,1988,25,Single Family,33.770343,-118.392949
7686-037-020,2541 Via Campesina,Rolling Hills Estates,CA,90274,C. Sampleton,,,3253000,Absentee,,new,4146 Wilshire Blvd,89109,5,5,4150,8600,2011,29,Condo,33.788156,-118.362854
7917-036-052,572 Aviation Blvd,Rolling Hills Estates,CA,90274,M. Mockton,,,2483000,Owner,,new,572 Aviation Blvd,90274,5,5,4240,14600,1977,17,Condo,33.799457,-118.357587
7524-022-058,4602 Rolling Hills Rd,Rancho Palos Verdes,CA,90275,B. Testerman,,,823000,Owner,,new,4602 Rolling Hills Rd,90275,2,1,1210,3300,1995,13,Condo,33.748687,-118.380775
7760-024-095,2366 Deep Valley Dr,Palos Verdes Estates,CA,90274,D. Stubbs,,,2580000,Owner,,new,2366 Deep Valley Dr,90274,4,4,3070,15200,1953,14,Single Family,33.765894,-118.384264
7367-023-004,2414 Highland Ave,Rancho Palos Verdes,CA,90275,K. Mockton,,,1661000,Owner,,new,2414 Highland Ave,90275,3,2,1820,4800,1996,12,Condo,33.730403,-118.403373
7220-006-048,720 Anza Ave,Palos Verdes Estates,CA,90274,M. Demoworth,,,2908000,Owner,,new,720 Anza Ave,90274,4,3,2890,11100,2016,26,Condo,33.765404,-118.397206
7684-021-065,6608 Vista Del Mar,Rancho Palos Verdes,CA,90275,K. Dummett,,,1590000,Owner,,new,6608 Vista Del Mar,90275,3,2,1890,9200,1963,8,Single Family,33.748762,-118.399433
7622-007-056,4892 Camino Real,Rancho Palos Verdes,CA,90275,M. Stubbs,,,1544000,Absentee,,new,6236 Ventura Blvd,90210,4,3,2380,10300,1981,18,Condo,33.72992,-118.369913
7822-039-048,2218 Palos Verdes Dr,Torrance,CA,90503,G. Placeholder,,,1403000,Owner,,new,2218 Palos Verdes Dr,90503,5,4,3300,16200,1951,41,Single Family,33.821614,-118.353865
7569-012-043,2086 Deep Valley Dr,Redondo Beach,CA,90277,M. Sample,,,1006000,Absentee,,new,8873 Ventura Blvd,89109,2,2,1210,5800,1957,30,Single Family,33.853842,-118.371609
7104-021-016,3123 Silver Spur Rd,Torrance,CA,90503,G. Mockton,,,1804000,Owner,,new,3123 Silver Spur Rd,90503,5,4,3790,11600,2005,25,Single Family,33.827786,-118.328386
7461-009-006,4247 Hawthorne Blvd,Palos Verdes Estates,CA,90274,H. Placeholder,,,3172000,Owner,,new,4247 Hawthorne Blvd,90274,4,4,3020,15700,2002,36,Single Family,33.796372,-118.37948
7321-027-036,441 Highland Ave,Redondo Beach,CA,90277,C. Placeholder,,,1752000,Absentee,,new,8308 Ventura Blvd,89109,5,4,3580,14800,1953,29,Single Family,33.86567,-118.376665
7196-016-054,4532 Anza Ave,Rolling Hills Estates,CA,90274,M. Testerman,,,2029000,Owner,,new,4532 Anza Ave,90274,4,3,3050,15500,1970,38,Single Family,33.778805,-118.343881
7716-003-006,1986 Granvia Altamira,Manhattan Beach,CA,90266,A. Fixture,,,2829000,Owner,,new,1986 Granvia Altamira,90266,4,3,2780,8900,1979,34,Single Family,33.88921,-118.397806
7124-036-098,5512 Aviation Blvd,Rancho Palos Verdes,CA,90275,K. Sampleton,,,1313000,Owner,,new,5512 Aviation Blvd,90275,3,2,1620,5700,1956,8,Single Family,33.737948,-118.38535
7176-013-062,5213 Hawthorne Blvd,Rolling Hills Estates,CA,90274,K. Sample,,,2157000,Absentee,,new,2841 Main St,89109,3,2,1930,10600,1983,34,Single Family,33.778661,-118.355874
7604-002-030,6177 Rolling Hills Rd,Torrance,CA,90503,D. Stubbs,,,650000,Absentee,,new,2604 Main St,91403,2,1,1380,5300,1981,18,Condo,33.841663,-118.348673
7908-026-047,4976 Aviation Blvd,Rolling Hills Estates,CA,90274,J. Testerman,,,2878000,Owner,,new,4976 Aviation Blvd,90274,5,4,3920,9800,1989,29,Single Family,33.793329,-118.374383
7669-017-097,5916 Calle Mayor,Rancho Palos Verdes,CA,90275,A. Mockton,,,2059000,Absentee,,new,8358 Ventura Blvd,91403,5,4,3400,8800,1985,35,Single Family,33.761501,-118.374979
7547-033-038,4553 Camino Real,Manhattan Beach,CA,90266,G. Example,,,2768000,Owner,,new,4553 Camino Real,90266,4,4,2480,11100,2011,24,Condo,33.868887,-118.408995
7238-036-005,6483 Calle Mayor,Rancho Palos Verdes,CA,90275,B. Example,,,2421000,Absentee,,new,7261 Wilshire Blvd,94105,5,4,3380,7900,1980,31,Single Family,33.741314,-118.388684
7290-032-010,1451 Hawthorne Blvd,Manhattan Beach,CA,90266,M. Example,,,3145000,Owner,,new,1451 Hawthorne Blvd,90266,2,1,1330,4000,1961,15,Single Family,33.889209,-118.404164
7142-003-084,6474 Esplanade,Rancho Palos Verdes,CA,90275,C. Fixture,,,1810000,Owner,,new,6474 Esplanade,90275,4,3,2300,11800,1950,18,Single Family,33.741012,-118.398702
7209-007-034,3867 Via Campesina,Torrance,CA,90503,E. Dummett,,,982000,Owner,,new,3867 Via Campesina,90503,3,2,1790,5400,2014,28,Single Family,33.826603,-118.345329
7100-038-036,979 Aviation Blvd,Torrance,CA,90503,A. Mockton,,,2343000,Owner,,new,979 Aviation Blvd,90503,5,4,4520,10100,1976,35,Single Family,33.828296,-118.326566
7763-027-080,4488 Hawthorne Blvd,Palos Verdes Estates,CA,90274,G. Fixture,,,2732000,Owner,,new,4488 Hawthorne Blvd,90274,4,4,2360,4700,1994,31,Single Family,33.780201,-118.407487
7480-001-036,2845 Crenshaw Blvd,Torrance,CA,90503,C. Dummett,,,1194000,Owner,,new,2845 Crenshaw Blvd,90503,4,3,2560,4700,2003,22,Condo,33.835744,-118.334277
7211-008-014,2618 Silver Spur Rd,Redondo Beach,CA,90277,E. Sample,,,1706000,Owner,,new,2618 Silver Spur Rd,90277,3,2,1990,6400,1963,5,Single Family,33.859197,-118.390052
7199-038-013,808 Prospect Ave,Rolling Hills Estates,CA,90274,E. Dummett,,,2797000,Owner,,new,808 Prospect Ave,90274,5,5,4420,16900,1972,22,Single Family,33.791145,-118.342604
7195-009-007,4384 Highland Ave,Palos Verdes Estates,CA,90274,B. Fixture,,,2569000,Owner,,new,4384 Highland Ave,90274,3,3,2000,4800,1982,29,Single Family,33.786359,-118.387495
7102-007-034,6774 Palos Verdes Dr,Rancho Palos Verdes,CA,90275,J. Example,,,1460000,Owner,,new,6774 Palos Verdes Dr,90275,3,3,1850,3000,1959,0,Condo,33.733996,-118.376154
7723-009-015,6747 Crenshaw Blvd,Rolling Hills Estates,CA,90274,D. Mockton,,,2991000,Owner,,new,6747 Crenshaw Blvd,90274,5,4,3700,11000,1968,38,Condo,33.788878,-118.348824
7122-025-094,1852 Deep Valley Dr,Redondo Beach,CA,90277,K. Dummett,,,1543000,Owner,,new,1852 Deep Valley Dr,90277,4,3,2340,3800,1949,2,Single Family,33.86432,-118.404878
7990-028-089,3031 Prospect Ave,Palos Verdes Estates,CA,90274,L. Sampleton,,,2364000,Absentee,,new,2740 Wilshire Blvd,90210,3,2,1760,3100,1969,17,Single Family,33.781632,-118.405778
7726-031-061,247 Calle Mayor,Rolling Hills Estates,CA,90274,H. Fixture,,,1908000,Owner,,new,247 Calle Mayor,90274,3,2,1660,3100,2006,27,Single Family,33.789307,-118.354043
7691-005-023,1534 Granvia Altamira,Redondo Beach,CA,90277,G. Mockton,,,1726000,Owner,,new,1534 Granvia Altamira,90277,4,3,2350,10800,1991,12,Single Family,33.864297,-118.377673
7817-037-059,2407 Camino Real,Manhattan Beach,CA,90266,M. Stubbs,,,2476000,Owner,,new,2407 Camino Real,90266,2,2,1410,4900,1994,12,Single Family,33.881979,-118.408369
7688-004-074,2556 Via Campesina,Torrance,CA,90503,E. Demoworth,,,1516000,Owner,,new,2556 Via Campesina,90503,5,5,3440,18500,1948,28,Single Family,33.823928,-118.333744
7302-009-044,6526 Silver Spur Rd,Palos Verdes Estates,CA,90274,F. Placeholder,,,1595000,Owner,,new,6526 Silver Spur Rd,90274,2,2,1470,5100,2002,29,Single Family,33.795641,-118.405702
7271-015-071,6170 Via Campesina,Redondo Beach,CA,90277,H. Sample,,,2661000,Owner,,new,6170 Via Campesina,90277,5,4,4270,18300,1994,27,Single Family,33.852333,-118.37456
7991-023-082,263 Hawthorne Blvd,Palos Verdes Estates,CA,90274,C. Demoworth,,,3884000,Owner,,new,263 Hawthorne Blvd,90274,5,4,4510,14600,1954,9,Single Family,33.761804,-118.401002
7129-035-026,386 Crenshaw Blvd,Rancho Palos Verdes,CA,90275,E. Testerman,,,1899000,Owner,,new,386 Crenshaw Blvd,90275,3,2,1930,9900,1983,13,Single Family,33.738253,-118.380055
7192-007-029,575 Crenshaw Blvd,Palos Verdes Estates,CA,90274,G. Example,,,2560000,Owner,,new,575 Crenshaw Blvd,90274,4,3,2880,11900,1987,30,Single Family,33.772821,-118.401984
7195-019-020,1416 Vista Del Mar,Rolling Hills Estates,CA,90274,K. Demoworth,,,2628000,Owner,,new,1416 Vista Del Mar,90274,5,4,4290,15300,1964,5,Condo,33.782131,-118.34083
7899-028-002,4630 Granvia Altamira,Manhattan Beach,CA,90266,C. Placeholder,,,4014000,Absentee,,new,6383 Wilshire Blvd,91403,5,5,3860,18900,1956,23,Single Family,33.90053,-118.412057
7905-022-069,1612 Hawthorne Blvd,Redondo Beach,CA,90277,L. Stubbs,,,1108000,Owner,,new,1612 Hawthorne Blvd,90277,3,2,1720,9000,1986,24,Single Family,33.836237,-118.383715
7770-035-081,4531 Granvia Altamira,Rolling Hills Estates,CA,90274,L. Sampleton,,,1581000,Absentee,,new,7092 Wilshire Blvd,89109,3,3,1830,4200,1966,37,Single Family,33.791762,-118.369063
7750-001-068,591 Esplanade,Palos Verdes Estates,CA,90274,E. Demoworth,,,3700000,Owner,,new,591 Esplanade,90274,5,4,4380,7300,1965,2,Single Family,33.785824,-118.400744
7500-003-023,4634 Highland Ave,Manhattan Beach,CA,90266,F. Mockton,,,2974000,Absentee,,new,6611 Ventura Blvd,89109,5,4,3300,14700,1953,40,Single Family,33.873095,-118.425798
7727-010-019,6416 Prospect Ave,Rolling Hills Estates,CA,90274,E. Example,,,2785000,Owner,,new,6416 Prospect Ave,90274,4,4,3110,5500,2012,13,Single Family,33.783195,-118.370144
7666-031-005,1419 Palos Verdes Dr,Manhattan Beach,CA,90266,A. Fixture,,,4328000,Owner,,new,1419 Palos Verdes Dr,90266,5,5,3600,8700,1998,21,Single Family,33.884931,-118.418486
7273-026-086,2724 Camino Real,Torrance,CA,90503,B. Fixture,,,1219000,Owner,,new,2724 Camino Real,90503,4,4,2440,9600,1979,39,Single Family,33.822098,-118.352062
7812-033-042,3417 Deep Valley Dr,Rancho Palos Verdes,CA,90275,D. Sample,,,1906000,Absentee,,new,1455 Main St,91403,4,4,3160,5900,1961,14,Single Family,33.755911,-118.400527
7373-011-071,5552 Aviation Blvd,Torrance,CA,90503,J. Demoworth,,,713000,Owner,,new,5552 Aviation Blvd,90503,2,1,1520,6700,1976,10,Single Family,33.844008,-118.327549
7955-007-092,1928 Granvia Altamira,Redondo Beach,CA,90277,D. Dummett,,,1365000,Owner,,new,1928 Granvia Altamira,90277,3,3,1970,9100,1948,5,Single Family,33.832526,-118.379606
7118-006-007,3123 Aviation Blvd,Redondo Beach,CA,90277,H. Mockton,,,2316000,Absentee,,new,3120 Wilshire Blvd,89109,5,5,3930,15700,1966,36,Condo,33.851386,-118.403232
7837-019-086,4172 Crenshaw Blvd,Rolling Hills Estates,CA,90274,E. Placeholder,,,1536000,Absentee,,new,1725 Wilshire Blvd,94105,2,1,1330,4400,1963,19,Single Family,33.786028,-118.350147
7477-033-063,1984 Granvia Altamira,Rolling Hills Estates,CA,90274,A. Stubbs,,,2360000,Absentee,,new,6706 Main St,90210,4,3,3160,14500,1987,38,Single Family,33.77807,-118.357778
7946-012-052,4974 Esplanade,Torrance,CA,90503,D. Testerman,,,992000,Owner,,new,4974 Esplanade,90503,3,2,2090,7900,2010,4,Single Family,33.830271,-118.326336
7945-028-033,4445 Hawthorne Blvd,Rancho Palos Verdes,CA,90275,L. Dummett,,,2454000,Absentee,,new,5031 Wilshire Blvd,90210,5,4,4710,17200,1992,16,Single Family,33.729994,-118.391082
7355-002-085,6526 Aviation Blvd,Redondo Beach,CA,90277,H. Sampleton,,,1933000,Owner,,new,6526 Aviation Blvd,90277,4,3,2820,5400,1968,3,Single Family,33.837882,-118.39329
7955-010-053,5600 Highland Ave,Rolling Hills Estates,CA,90274,J. Fixture,,,2108000,Owner,,new,5600 Highland Ave,90274,4,3,2780,15100,2010,31,Single Family,33.771786,-118.361568
7894-013-003,6560 Camino Real,Rolling Hills Estates,CA,90274,A. Testerman,,,3369000,Owner,,new,6560 Camino Real,90274,5,5,4450,18200,1988,18,Single Family,33.786215,-118.356555
7719-017-015,5804 Aviation Blvd,Rolling Hills Estates,CA,90274,L. Dummett,,,2309000,Owner,,new,5804 Aviation Blvd,90274,5,4,3530,15100,1985,32,Single Family,33.780559,-118.353197
7951-001-082,2842 Aviation Blvd,Palos Verdes Estates,CA,90274,F. Fixture,,,1835000,Owner,,new,2842 Aviation Blvd,90274,3,2,1940,5000,1989,41,Single Family,33.791045,-118.39291
7748-034-097,537 Crenshaw Blvd,Manhattan Beach,CA,90266,F. Fixture,,,3445000,Owner,,new,537 Crenshaw Blvd,90266,4,3,2550,5000,2015,33,Single Family,33.884761,-118.420381
7144-019-086,1783 Hawthorne Blvd,Torrance,CA,90503,J. Stubbs,,,868000,Owner,,new,1783 Hawthorne Blvd,90503,2,1,1590,3800,1952,39,Single Family,33.851234,-118.353832
7795-010-069,2929 Calle Mayor,Redondo Beach,CA,90277,E. Sample,,,2573000,Owner,,new,2929 Calle Mayor,90277,5,5,3980,17300,2002,16,Single Family,33.85625,-118.394489
7387-004-074,529 Deep Valley Dr,Redondo Beach,CA,90277,B. Stubbs,,,1837000,Absentee,,new,874 Wilshire Blvd,91403,5,4,3620,14400,1984,29,Condo,33.837248,-118.406143
7120-001-094,5747 Anza Ave,Manhattan Beach,CA,90266,G. Dummett,,,2701000,Owner,,new,5747 Anza Ave,90266,3,2,1840,3300,1991,11,Single Family,33.878324,-118.418345
7943-028-072,583 Deep Valley Dr,Redondo Beach,CA,90277,A. Demoworth,,,715000,Owner,,new,583 Deep Valley Dr,90277,2,1,1330,4600,2016,33,Single Family,33.838903,-118.395902
7681-015-043,1726 Calle Mayor,Rancho Palos Verdes,CA,90275,M. Sample,,,1866000,Owner,,new,1726 Calle Mayor,90275,2,2,1510,3300,2005,39,Single Family,33.752724,-118.38725
7781-012-055,4560 Esplanade,Torrance,CA,90503,K. Sample,,,1331000,Owner,,new,4560 Esplanade,90503,4,3,3000,10100,1990,34,Condo,33.834132,-118.337396
7666-031-054,2276 Hawthorne Blvd,Rolling Hills Estates,CA,90274,M. Testerman,,,2241000,Owner,,new,2276 Hawthorne Blvd,90274,4,3,2540,13900,1998,18,Single Family,33.782327,-118.371355
7801-034-036,6381 Hawthorne Blvd,Rolling Hills Estates,CA,90274,C. Placeholder,,,1564000,Absentee,,new,1564 Main St,94105,3,2,2050,8000,2010,10,Single Family,33.802085,-118.371519
7524-039-087,4584 Aviation Blvd,Redondo Beach,CA,90277,L. Placeholder,,,1553000,Owner,,new,4584 Aviation Blvd,90277,4,4,2340,11200,1976,40,Condo,33.832251,-118.395964
7279-020-050,1994 Palos Verdes Dr,Manhattan Beach,CA,90266,D. Demoworth,,,3461000,Owner,,new,1994 Palos Verdes Dr,90266,3,3,1850,3000,1973,24,Condo,33.901104,-118.403139
7340-013-004,3817 Crenshaw Blvd,Rolling Hills Estates,CA,90274,C. Demoworth,,,2494000,Owner,,new,3817 Crenshaw Blvd,90274,4,4,3050,15500,1970,18,Single Family,33.785816,-118.371226
7747-023-039,225 Via Campesina,Manhattan Beach,CA,90266,H. Sampleton,,,3485000,Owner,,new,225 Via Campesina,90266,4,3,2870,15100,1954,12,Single Family,33.875717,-118.416132
7461-022-091,5559 Anza Ave,Manhattan Beach,CA,90266,J. Sample,,,4141000,Absentee,,new,4760 Ventura Blvd,89109,5,5,4220,15500,1975,7,Single Family,33.901377,-118.395563
7376-024-042,5112 Deep Valley Dr,Torrance,CA,90503,M. Example,,,1472000,Owner,,new,5112 Deep Valley Dr,90503,5,4,3200,6300,1991,32,Condo,33.849774,-118.351556
7454-036-006,2881 Aviation Blvd,Torrance,CA,90503,A. Stubbs,,,2508000,Owner,,new,2881 Aviation Blvd,90503,5,4,4540,16700,2002,0,Single Family,33.849816,-118.357361
7841-026-051,5337 Vista Del Mar,Manhattan Beach,CA,90266,L. Sampleton,,,3505000,Absentee,,new,605 Ventura Blvd,94105,3,2,2150,4400,1975,31,Single Family,33.868625,-118.409576
7618-038-073,2781 Silver Spur Rd,Redondo Beach,CA,90277,K. Mockton,,,1592000,Owner,,new,2781 Silver Spur Rd,90277,4,3,2320,7300,1960,5,Single Family,33.852464,-118.372145
7480-004-074,2629 Granvia Altamira,Rolling Hills Estates,CA,90274,J. Dummett,,,2805000,Absentee,,new,5965 Ventura Blvd,90210,5,4,3820,10200,1957,35,Single Family,33.777877,-118.373823
7833-011-097,3928 Aviation Blvd,Rolling Hills Estates,CA,90274,D. Testerman,,,2229000,Owner,,new,3928 Aviation Blvd,90274,5,4,3620,15800,2015,23,Single Family,33.780972,-118.353702
7274-023-012,6791 Aviation Blvd,Redondo Beach,CA,90277,F. Example,,,1721000,Owner,,new,6791 Aviation Blvd,90277,4,4,2750,10900,1997,11,Single Family,33.838708,-118.37983
7420-021-065,3488 Camino Real,Redondo Beach,CA,90277,D. Fixture,,,2541000,Absentee,,new,6337 Main St,91403,5,5,4230,19800,1986,40,Single Family,33.837163,-118.393691
7892-021-017,3636 Vista Del Mar,Torrance,CA,90503,B. Sample,,,1831000,Absentee,,new,6251 Main St,91403,5,5,4010,20100,1951,13,Single Family,33.818671,-118.323196
7335-001-085,912 Deep Valley Dr,Palos Verdes Estates,CA,90274,A. Testerman,,,3298000,Owner,,new,912 Deep Valley Dr,90274,5,5,3580,7200,2017,15,Single Family,33.787894,-118.384283
7934-001-059,2102 Anza Ave,Rancho Palos Verdes,CA,90275,D. Fixture,,,2878000,Owner,,new,2102 Anza Ave,90275,5,5,4030,10600,1979,32,Single Family,33.757571,-118.387264
7567-008-027,2911 Via Campesina,Manhattan Beach,CA,90266,D. Sample,,,2867000,Absentee,,new,4371 Main St,94105,3,2,2140,5600,1995,33,Single Family,33.881975,-118.420207
7649-028-015,4064 Rolling Hills Rd,Palos Verdes Estates,CA,90274,F. Mockton,,,2827000,Owner,,new,4064 Rolling Hills Rd,90274,4,4,3070,6700,1970,30,Condo,33.778542,-118.386928
7968-006-023,6610 Prospect Ave,Manhattan Beach,CA,90266,A. Demoworth,,,3149000,Absentee,,new,4523 Main St,89109,5,4,3930,11400,1950,6,Single Family,33.895032,-118.416623
7904-037-039,2410 Deep Valley Dr,Redondo Beach,CA,90277,H. Mockton,,,2254000,Absentee,,new,6698 Main St,91403,5,4,4150,20200,1960,41,Single Family,33.847439,-118.378017
7898-001-093,264 Prospect Ave,Palos Verdes Estates,CA,90274,G. Sample,,,2127000,Owner,,new,264 Prospect Ave,90274,4,4,2430,5100,1975,10,Single Family,33.76831,-118.402188
